nom du point,angles augmentés,angles augmentés,angles augmentés,angles observés,angles observés,angles observés
,d,m,s,d,m,s
Piramide,40,34,51,40,33,51
Observatoire,61,19,0,61,19,0
Ste Margueritte,78,7,10,78,7,10
Piramide,13,33,58,13,33,58
Observatoire,26,47,20,26,47,20
Notre-Dame,139,39,15,139,39,15
Piramide,27,1,1,27,0,1
Ste Margueritte,48,49,19,48,49,19
Notre-Dame,104,9,50,104,9,50
Observatoire,34,31,40,34,31,40
Ste Margueritte,29,17,51,29,17,51
Notre-Dame,116,10,55,116,10,55
